"","date","Block","plot","species","X.cover"
"165","8/24/14",1,1,"Ambrosia_psilostachya",1
"166","8/24/14",1,1,"Amorpha_canescens",9
"161","8/24/14",1,1,"Andropogon_gerardii",90
"167","8/24/14",1,1,"Aster_ericoides",1
"69","5/28/14",1,1,"Carex_heliophila",2
"163","8/24/14",1,1,"Carex_meadii",12
"171","8/24/14",1,1,"Ceanothus_herbaceus",11
"73","5/28/14",1,1,"Desmodium_illinoense",6
"71","5/28/14",1,1,"Oxalis_stricta",1
"168","8/24/14",1,1,"Physalis_pumila",1
"169","8/24/14",1,1,"Salvia_azurea",7
"170","8/24/14",1,1,"Solidago_missouriensis",40
"162","8/24/14",1,1,"Sorghastrum_nutans",9
"178","8/24/14",1,2,"Ambrosia_psilostachya",1
"179","8/24/14",1,2,"Amorpha_canescens",6
"173","8/24/14",1,2,"Andropogon_gerardii",80
"180","8/24/14",1,2,"Aster_ericoides",1
"174","8/24/14",1,2,"Bouteloua_curtipendula",5
"177","8/24/14",1,2,"Carex_heliophila",1
"75","5/28/14",1,2,"Carex_meadii",11
"74","5/28/14",1,2,"Dicanthelium_oligosanthes",3
"181","8/24/14",1,2,"Physalis_pumila",1
"182","8/24/14",1,2,"Rhus_glabra",6
"183","8/24/14",1,2,"Salvia_azurea",4
"184","8/24/14",1,2,"Solidago_missouriensis",3
"176","8/24/14",1,2,"Sorghastrum_nutans",20
"80","5/28/14",1,3,"Amorpha_canescens",7
"185","8/24/14",1,3,"Andropogon_gerardii",60
"79","5/28/14",1,3,"Carex_heliophila",2
"78","5/28/14",1,3,"Carex_meadii",8
"81","5/28/14",1,3,"Euphorbia_nutans",1
"186","8/24/14",1,3,"Panicum_virgatum",20
"82","5/28/14",1,3,"Physalis_pumila",1
"190","8/24/14",1,3,"Salvia_azurea",21
"191","8/24/14",1,3,"Solidago_canadensis",26
"187","8/24/14",1,3,"Sorghastrum_nutans",30
"198","8/24/14",1,4,"Ambrosia_psilostachya",1
"192","8/24/14",1,4,"Andropogon_gerardii",50
"86","5/28/14",1,4,"Asclepias_verticillata",1
"200","8/24/14",1,4,"Aster_ericoides",1
"201","8/24/14",1,4,"Aster_oblongifolia",1
"202","8/24/14",1,4,"Baptisia_bracteata",5
"193","8/24/14",1,4,"Bouteloua_curtipendula",30
"85","5/28/14",1,4,"Carex_heliophila",5
"84","5/28/14",1,4,"Carex_meadii",8
"194","8/24/14",1,4,"Dicanthelium_oligosanthes",2
"195","8/24/14",1,4,"Panicum_virgatum",10
"88","5/28/14",1,4,"Physalis_pumila",1
"203","8/24/14",1,4,"Ruellia_humilis",2
"204","8/24/14",1,4,"Salvia_azurea",1
"196","8/24/14",1,4,"Schizachyrium_scoparius",4
"205","8/24/14",1,4,"Solidago_canadensis",3
"197","8/24/14",1,4,"Sorghastrum_nutans",3
"206","8/24/14",1,4,"Vernonia_baldwinii",2
"212","8/24/14",1,5,"Ambrosia_psilostachya",5
"93","5/28/14",1,5,"Amorpha_canescens",1
"207","8/24/14",1,5,"Andropogon_gerardii",90
"213","8/24/14",1,5,"Aster_ericoides",2
"94","5/28/14",1,5,"Baptisia_bracteata",1
"92","5/28/14",1,5,"Carex_heliophila",3
"91","5/28/14",1,5,"Carex_meadii",10
"90","5/28/14",1,5,"Dicanthelium_oligosanthes",1
"209","8/24/14",1,5,"Panicum_virgatum",2
"214","8/24/14",1,5,"Physalis_pumila",1
