"","date","Block","plot","species","X.cover"
"275","8/17/14",1,1,"Bouteloua_gracilis",73
"3","6/26/14",1,1,"Bouteloua_hirsuta",8
"4","6/26/14",1,1,"Carex_duriuscula",2
"6","6/26/14",1,1,"Elymus_elymoides",10
"7","6/26/14",1,1,"Euphorbia_glyptosperma",1
"8","6/26/14",1,1,"Festuca_octoflora",9
"9","6/26/14",1,1,"Oenothera_albicaulis",2
"10","6/26/14",1,1,"Opuntia_polyacantha",1
"11","6/26/14",1,1,"Plantago_patagonica",2
"12","6/26/14",1,1,"Sphaeralcea_coccinea",3
"282","8/17/14",1,2,"Bouteloua_gracilis",50
"15","6/26/14",1,2,"Carex_duriuscula",6
"288","8/17/14",1,2,"Echinocereus_viridiflorus",1
"16","6/26/14",1,2,"Elymus_elymoides",6
"17","6/26/14",1,2,"Festuca_octoflora",14
"18","6/26/14",1,2,"Ipomopsis_laxiflora",4
"285","8/17/14",1,2,"Machaeranthera_tanacetifolia",5
"19","6/26/14",1,2,"Plantago_patagonica",5
"287","8/17/14",1,2,"Sphaeralcea_coccinea",4
"293","8/17/14",1,3,"Bouteloua_dactyloides",4
"291","8/17/14",1,3,"Bouteloua_gracilis",80
"292","8/17/14",1,3,"Bouteloua_hirsuta",1
"23","6/26/14",1,3,"Carex_duriuscula",6
"24","6/26/14",1,3,"Festuca_octoflora",49
"25","6/26/14",1,3,"Ipomopsis_laxiflora",1
"294","8/17/14",1,3,"Plantago_patagonica",11
"27","6/26/14",1,3,"Sphaeralcea_coccinea",2
"299","8/17/14",1,4,"Bouteloua_dactyloides",22
"298","8/17/14",1,4,"Bouteloua_gracilis",40
"29","6/26/14",1,4,"Bouteloua_hirsuta",2
"31","6/26/14",1,4,"Carex_duriuscula",17
"302","8/17/14",1,4,"Echinocereus_viridiflorus",1
"32","6/26/14",1,4,"Elymus_elymoides",3
"33","6/26/14",1,4,"Festuca_octoflora",77
"301","8/17/14",1,4,"Mirabilis_linearis",2
"34","6/26/14",1,4,"Sphaeralcea_coccinea",9
"35","6/26/14",1,5,"Bouteloua_gracilis",50
"36","6/26/14",1,5,"Carex_duriuscula",2
"304","8/17/14",1,5,"Elymus_elymoides",1
"38","6/26/14",1,5,"Festuca_octoflora",56
"305","8/17/14",1,5,"Machaeranthera_tanacetifolia",11
"40","6/26/14",1,5,"Oenothera_albicaulis",4
"41","6/26/14",1,5,"Plantago_patagonica",1
"42","6/26/14",1,5,"Sphaeralcea_coccinea",1
"309","8/17/14",1,6,"Bouteloua_gracilis",60
"44","6/26/14",1,6,"Carex_duriuscula",2
"45","6/26/14",1,6,"Echinocereus_viridiflorus",1
"46","6/26/14",1,6,"Festuca_octoflora",20
"47","6/26/14",1,6,"Ipomopsis_laxiflora",1
"48","6/26/14",1,6,"Muhlenbergia_torreyi",1
"49","6/26/14",1,6,"Oenothera_albicaulis",2
"50","6/26/14",1,6,"Picradeniopsis_oppositifolia",2
"312","8/17/14",1,6,"Plantago_patagonica",10
"52","6/26/14",1,6,"Sphaeralcea_coccinea",1
"53","6/26/14",1,6,"Tragopogon_dubius",5
"317","8/17/14",1,7,"Bouteloua_gracilis",80
"56","6/26/14",1,7,"Carex_duriuscula",14
"57","6/26/14",1,7,"Cryptantha_minima",8
"324","8/17/14",1,7,"Echinocereus_viridiflorus",2
"60","6/26/14",1,7,"Elymus_elymoides",2
"61","6/26/14",1,7,"Euphorbia_glyptosperma",1
"62","6/26/14",1,7,"Festuca_octoflora",6
"320","8/17/14",1,7,"Ipomopsis_laxiflora",8
"325","8/17/14",1,7,"Opuntia_polyacantha",3
"64","6/26/14",1,7,"Plantago_patagonica",8
"322","8/17/14",1,7,"Sphaeralcea_coccinea",5
"323","8/17/14",1,7,"Tragopogon_dubius",1
"327","8/17/14",1,8,"Bouteloua_gracilis",55
"67","6/26/14",1,8,"Carex_duriuscula",11
"331","8/17/14",1,8,"Echinocereus_viridiflorus",1
"69","6/26/14",1,8,"Elymus_elymoides",9
"70","6/26/14",1,8,"Festuca_octoflora",17
"329","8/17/14",1,8,"Ipomopsis_laxiflora",6
"72","6/26/14",1,8,"Opuntia_polyacantha",2
"73","6/26/14",1,8,"Plantago_patagonica",1
"335","8/17/14",1,8,"Solanum_triflorum",1
"330","8/17/14",1,8,"Sphaeralcea_coccinea",8
"75","6/26/14",1,9,"Bouteloua_gracilis",87
"338","8/17/14",1,9,"Cryptantha_minima",3
"337","8/17/14",1,9,"Elymus_elymoides",1
"78","6/26/14",1,9,"Festuca_octoflora",22
"79","6/26/14",1,9,"Plantago_patagonica",8
"340","8/17/14",1,9,"Sphaeralcea_coccinea",2
"345","8/17/14",1,10,"Bouteloua_dactyloides",2
"82","6/26/14",1,10,"Bouteloua_gracilis",68
"344","8/17/14",1,10,"Bouteloua_hirsuta",2
"83","6/26/14",1,10,"Carex_duriuscula",3
"85","6/26/14",1,10,"Festuca_octoflora",95
"347","8/17/14",1,10,"Ipomopsis_laxiflora",2
"348","8/17/14",1,10,"Picradeniopsis_oppositifolia",11
"88","6/26/14",1,10,"Plantago_patagonica",6
"346","8/17/14",1,10,"Sporobolus_cryptandrus",1
"89","6/26/14",2,1,"Bouteloua_gracilis",95
"353","8/17/14",2,1,"Bouteloua_hirsuta",1
