"","Plot","Block","Shannon","Plot","Block","InverseSimpson","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","berger.parker.D","berger.parker.I","Plot","Block","richness","EQ","Plot","Block","richness","Evar"
"1",1,2,1.98565297658706,1,2,4.81188118811881,13,1.828,2.12706706706707,0.421983847132788,231.5,-0.708716859896672,0.2315,999,0.37037037037037,2.7,1,2,13,0.166557965616584,1,2,13,0.510150877746874
"2",2,2,1.31753189187747,2,2,2.87605042016807,8,0.959,1.52416916916917,0.366189316667887,9,-1.54337973131463,0.009,999,0.472972972972973,2.11428571428571,2,2,8,0.145335272621186,2,2,8,0.275415815903176
"3",3,2,1.08349299090945,3,2,2.15044247787611,6,1.103,1.21784184184184,0.305794049996132,356.5,-0.375552898571095,0.3565,999,0.648148148148148,1.54285714285714,3,2,6,0.146788733192671,3,2,6,0.306444159356261
"4",4,2,1.44119232380867,4,2,2.78561151079137,8,1.431,1.38135535535536,0.3332552670174,719.5,0.148968822275366,0.7195,999,0.568181818181818,1.76,4,2,8,0.153661859704818,4,2,8,0.414232267701714
"5",5,2,1.3676238418249,5,2,2.54640108646446,8,1.591,1.50537837837838,0.345250150333905,759.5,0.247998796057912,0.7595,999,0.6,1.66666666666667,5,2,8,0.153144459949087,5,2,8,0.413713832348844
"6",6,2,1.50243508804812,6,2,3.17637407711239,8,1.265,1.51022922922923,0.351964886130199,222,-0.696743450534193,0.222,999,0.511363636363636,1.95555555555556,6,2,8,0.152135559850698,6,2,8,0.355230232142059
"7",7,2,1.12057103703601,7,2,2.1978021978022,5,1.115,1.06914814814815,0.296482410462242,689,0.154652857079666,0.689,999,0.65,1.53846153846154,7,2,5,0.171926372622133,7,2,5,0.535375489011237
"8",8,2,1.5302946989444,8,2,2.86266714853632,10,1.203,1.7818018018018,0.398902892684851,14,-1.45098421800385,0.014,999,0.561797752808989,1.78,8,2,10,0.15191057467905,8,2,10,0.421469698714668
"9",9,2,1.73121776601575,9,2,4.6413597733711,9,1.783,1.64911211211211,0.348517371388806,784.5,0.384164173379244,0.7845,999,0.2734375,3.65714285714286,9,2,9,0.144327906773951,9,2,9,0.360223554737948
"10",10,2,1.02004417134767,10,2,1.95115423218468,7,1.299,1.3674004004004,0.326036066829403,495.5,-0.209793968702826,0.4955,999,0.694444444444444,1.44,10,2,7,0.128943245181101,10,2,7,0.225839559240348
"11",1,3,1.57079459418471,1,3,3.05384893386339,10,1.733,1.77565565565566,0.383149410134635,581.5,-0.111329039083388,0.5815,999,0.538461538461538,1.85714285714286,1,3,10,0.14724559075441,1,3,10,0.401569229661584
"12",2,3,1.70500401239195,2,3,3.51320754716981,11,1.775,1.92160760760761,0.418605366769657,454,-0.350228686122604,0.454,999,0.488721804511278,2.04615384615385,2,3,11,0.167687191221309,2,3,11,0.468763080828671
"13",3,3,1.61679999583529,3,3,3.18549552152557,10,1.731,1.78615415415415,0.394138130599216,575.5,-0.13993610329024,0.5755,999,0.523809523809524,1.90909090909091,3,3,10,0.158284013122193,3,3,10,0.466604723692225
"14",4,3,1.77024644619566,4,3,3.32832040525566,14,2.072,2.255001001001,0.441137526894128,417.5,-0.414838887748765,0.4175,999,0.517241379310345,1.93333333333333,4,3,14,0.156783096368365,4,3,14,0.433292420347891
"15",5,3,1.57268898234509,5,3,2.72356020942408,11,1.723,1.78495495495496,0.386646059495788,556,-0.160236871509174,0.556,999,0.588235294117647,1.7,5,3,11,0.159801798581905,5,3,11,0.509749749540539
"16",6,3,1.76271761919707,6,3,3.84478935698448,12,2.133,2.02354254254254,0.40431085376835,737.5,0.27072599322345,0.7375,999,0.441176470588235,2.26666666666667,6,3,12,0.174193878384843,6,3,12,0.47739889335035
"17",7,3,1.83377233410632,7,3,3.93096446700508,12,1.698,2.0349019019019,0.41421425045131,193.5,-0.813351789647094,0.1935,999,0.454545454545455,2.2,7,3,12,0.1686450796659,7,3,12,0.502149824807957
"18",8,3,1.4719962333093,8,3,2.57909215955983,11,1.728,1.90247247247247,0.396587291718858,388.5,-0.439934602332534,0.3885,999,0.6,1.66666666666667,8,3,11,0.158498468099449,8,3,11,0.43456060694149
"19",9,3,1.71817950406503,9,3,3.62451612903226,11,1.689,1.91445045045045,0.406082280991387,320,-0.555184160953904,0.32,999,0.471698113207547,2.12,9,3,11,0.15820115643951,9,3,11,0.453209617447769
"20",10,3,1.30529999709229,10,3,2.12829594647776,11,1.559,1.89964064064064,0.382575977744925,139.5,-0.890386904709832,0.1395,999,0.673076923076923,1.48571428571429,10,3,11,0.146077902703161,10,3,11,0.414214399256854
