"","plot","Block","richness","Shannon","InverseSimpson","EQ","Evar","berger.parker.D","berger.parker.I","PD","SR"
"1",1,1,13,1.69943438318971,3.53228962818004,0.138124138260677,0.294857618723822,0.473684210526316,2.11111111111111,1.798,13
"2",2,1,13,1.5858356589029,2.85770975056689,0.151795963978739,0.355646000755495,0.563380281690141,1.775,1.653,13
"3",3,1,10,1.83014354291902,5.04823989569752,0.131571472722562,0.301619152245192,0.340909090909091,2.93333333333333,1.55,10
"4",4,1,18,2.02377623223374,4.60992907801418,0.168566083508775,0.410525727512416,0.384615384615385,2.6,1.856,18
"5",5,1,14,1.42825252684518,2.31568998109641,0.151743030790632,0.355274441508959,0.642857142857143,1.55555555555556,1.398,14
"6",6,1,15,2.00546311078751,4.52769000498919,0.157868131894926,0.417084796042605,0.424242424242424,2.35714285714286,1.667,15
"7",7,1,14,2.0207601902608,5.31650485436893,0.157647121045005,0.387153256934334,0.337837837837838,2.96,1.482,14
"8",8,1,14,1.89830350797969,4.01457725947522,0.157053602538098,0.44511772714243,0.457516339869281,2.18571428571429,1.726,14
"9",9,1,14,1.58882712031424,2.55879218472469,0.154714782875857,0.451549083847495,0.612244897959184,1.63333333333333,1.708,14
"10",10,1,14,1.65730764638895,3.10333692142088,0.142533797721316,0.313254336266637,0.537634408602151,1.86,1.785,14
"11",1,2,19,2.11634728788857,6.13372012708938,0.134927157586006,0.264877956212885,0.23489932885906,4.25714285714286,1.95,19
"12",2,2,13,1.39708271930243,2.60851844304055,0.136121869859295,0.317876581099141,0.5625,1.77777777777778,1.407,13
"13",3,2,14,1.86039816946601,4.76478346889426,0.129135472192611,0.270309881077414,0.313725490196078,3.1875,1.312,14
"14",4,2,20,2.09476879954435,5.35526732046821,0.153704578977286,0.361832783453498,0.298913043478261,3.34545454545455,2.077,20
"15",5,2,15,1.93140772725694,4.98934280639432,0.137783961570269,0.352257466188044,0.283018867924528,3.53333333333333,1.921,15
"16",6,2,13,2.23628259236375,8.26315789473684,0.150491662438132,0.397156554098341,0.191082802547771,5.23333333333333,1.489,13
"17",7,2,14,1.78938391121697,3.48655357881672,0.150868566880326,0.391772769462889,0.50314465408805,1.9875,1.834,14
"18",8,2,13,1.7808642442189,4.23090019153011,0.147977889098712,0.310314436007667,0.390070921985816,2.56363636363636,1.915,13
"19",9,2,15,1.62520203897596,3.87047014539819,0.123613561131296,0.25876919628408,0.327510917030568,3.05333333333333,1.472,15
"20",10,2,11,1.50962090196354,3.05900198765561,0.131607433654774,0.257052322105873,0.526315789473684,1.9,1.411,11
"21",1,3,13,1.68246615609446,4.12102630304986,0.122653327517615,0.211471555144422,0.398230088495575,2.51111111111111,1.75,13
"22",2,3,8,1.45964688891629,3.38331535418914,0.114315174625954,0.227263014840757,0.463917525773196,2.15555555555556,1.354,8
"23",3,3,5,0.946526632968561,2.23087719298246,0.107383442568498,0.257521132503009,0.53475935828877,1.87,1.111,5
"24",4,3,9,1.67300237113055,4.28203117341437,0.121670610067516,0.258631893127116,0.382775119617225,2.6125,1.399,9
"25",5,3,9,1.28832428338942,2.60771766530929,0.125289862273927,0.281317480924411,0.548780487804878,1.82222222222222,1.103,9
"26",6,3,8,1.26699767980111,2.40197693574959,0.12251447333725,0.290042204939928,0.617283950617284,1.62,1.47,8
"27",7,3,10,1.45217748792124,3.07297626864272,0.12387507950732,0.266165865521502,0.497237569060773,2.01111111111111,1.454,10
"28",8,3,10,1.32526389496103,2.61992652988084,0.126118357091375,0.234713511803973,0.573099415204678,1.74489795918367,1.724,10
"29",9,3,12,1.48653094026777,2.65381083562902,0.140985216099374,0.322024385503832,0.588235294117647,1.7,1.683,12
"30",10,3,15,1.98739051166061,5.35650307202606,0.139377692391213,0.387941256621122,0.278810408921933,3.58666666666667,1.815,15
