"","plot","Block","Shannon","plot","Block","InverseSimpson","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","berger.parker.D","berger.parker.I","plot","Block","richness","EQ","plot","Block","richness","Evar"
"1",1,1,1.28525395255016,1,1,2.20135787028765,10,1.681,1.67939339339339,0.413547873993526,638.5,0.00388493499215007,0.6385,999,0.657657657657658,1.52054794520548,1,1,10,0.139626939687252,1,1,10,0.359658964547545
"2",2,1,1.5935210965473,2,1,3.16555594528236,9,1.586,1.55914514514515,0.397169585079949,664.5,0.0676155875567587,0.6645,999,0.526315789473684,1.9,2,1,9,0.160153101225462,2,1,9,0.506462062307148
"3",3,1,1.23617206992609,3,1,2.64097995545657,8,1.32,1.43027327327327,0.377276853311312,506.5,-0.292287407259201,0.5065,999,0.519480519480519,1.925,3,1,8,0.12106788818749,3,1,8,0.250465420618875
"4",4,1,1.54612856990587,4,1,3.56255207713367,9,1.238,1.55681181181181,0.40275730348641,206,-0.791573011965429,0.206,999,0.445086705202312,2.24675324675325,4,1,9,0.1244823578783,4,1,9,0.288897481160377
"5",5,1,1.23049488505499,5,1,2.74671280276817,8,1.473,1.43366766766767,0.381016720299729,689,0.10322993778696,0.689,999,0.444444444444444,2.25,5,1,8,0.122492819376591,5,1,8,0.2379864494985
"6",6,1,1.40817708558727,6,1,2.6624003863801,11,1.816,1.81525925925926,0.435872869272897,613.5,0.00169944218362656,0.6135,999,0.571428571428571,1.75,6,1,11,0.143729746729514,6,1,11,0.326767297960714
"7",7,1,1.57738627679037,7,1,2.77285963890507,12,1.925,1.91374374374374,0.443135275218171,606.5,0.0254013997209194,0.6065,999,0.579710144927536,1.725,7,1,12,0.150416664705934,7,1,12,0.399175044231235
"8",8,1,1.61500583425399,8,1,3.40077284018769,10,1.544,1.68091991991992,0.413483163195415,507,-0.331137836089376,0.507,999,0.495495495495495,2.01818181818182,8,1,10,0.147814950927109,8,1,10,0.337227375275844
"9",9,1,0.927187576044006,9,1,1.86065674578773,6,0.99,1.15292092092092,0.338234596156021,350.5,-0.481680238427677,0.3505,999,0.707317073170732,1.41379310344828,9,1,6,0.11643573817981,9,1,6,0.262055790885907
"10",10,1,1.22530326468922,10,1,2.61064506797802,9,1.36,1.55137237237237,0.395474461345648,397.5,-0.483905766560008,0.3975,999,0.5,2,10,1,9,0.109997104879104,10,1,9,0.255559232785242
"11",1,2,1.28838859614615,1,2,2.28166666666667,10,1.536,1.67306006006006,0.409681053415277,493.5,-0.334553084448178,0.4935,999,0.641891891891892,1.55789473684211,1,2,10,0.136293129408261,1,2,10,0.276087856594351
"12",2,2,1.15114459086415,2,2,2.01749023603328,9,1.453,1.42813013013013,0.381084767845227,677.5,0.0652607292873237,0.6775,999,0.688073394495413,1.45333333333333,2,2,9,0.13975025137545,2,2,9,0.314643056743702
"13",3,2,1.64024849559257,3,2,3.73037447988904,9,1.169,1.56057057057057,0.39935074409395,121.5,-0.980517944091901,0.1215,999,0.445121951219512,2.24657534246575,3,2,9,0.155909329095266,3,2,9,0.422085724953614
"14",4,2,1.52913461074053,4,2,3.16531791907514,10,1.514,1.66968968968969,0.400217325485844,452.5,-0.389012868197773,0.4525,999,0.506756756756757,1.97333333333333,4,2,10,0.135675084969683,4,2,10,0.309872825265539
"15",5,2,1.8171699129737,5,2,3.7442735042735,12,1.719,1.91372172172172,0.443204758045022,419,-0.43934934855086,0.419,999,0.47972972972973,2.08450704225352,5,2,12,0.161464084917952,5,2,12,0.471233429787754
"16",6,2,1.15675081140297,6,2,2.15529262624128,8,1.431,1.43300700700701,0.376086496775762,650.5,-0.00533655694690822,0.6505,999,0.653465346534653,1.53030303030303,6,2,8,0.134426236491732,6,2,8,0.315106249831313
"17",7,2,1.52667523435372,7,2,3.97223278813237,7,1.135,1.28878178178178,0.363130309492022,412,-0.423489248245085,0.412,999,0.310734463276836,3.21818181818182,7,2,7,0.144280077012493,7,2,7,0.39150154301185
"18",8,2,1.33238382052805,8,2,2.69978401727862,8,1.325,1.42310910910911,0.381118043436904,525.5,-0.257424466772463,0.5255,999,0.566666666666667,1.76470588235294,8,2,8,0.119707847780603,8,2,8,0.281984929470818
"19",9,2,1.31874729898224,9,2,2.78406385660272,9,1.368,1.55737737737738,0.395779354342006,395.5,-0.478492309666385,0.3955,999,0.51063829787234,1.95833333333333,9,2,9,0.12823466095917,9,2,9,0.257341731592779
"20",10,2,1.2121337762599,10,2,2.33820429956442,8,1.336,1.43601901901902,0.376239174557331,531,-0.26583892848664,0.531,999,0.62015503875969,1.6125,10,2,8,0.128269313249308,10,2,8,0.277448218598316
"21",1,3,1.82113553576771,1,3,5.21772272510719,8,1.188,1.42422122122122,0.37002455926469,292.5,-0.638393358783099,0.2925,999,0.324324324324324,3.08333333333333,1,3,8,0.20084708825164,1,3,8,0.597967800561379
"22",2,3,1.2340043250824,2,3,2.9022828050583,7,1.157,1.28434734734735,0.34572551936464,429,-0.368348126517767,0.429,999,0.452127659574468,2.21176470588235,2,3,7,0.107800575486284,2,3,7,0.17877068205888
"23",3,3,1.83209342807881,3,3,4.65784615384615,12,1.567,1.91394794794795,0.42892722508852,230,-0.808873691513396,0.23,999,0.316091954022989,3.16363636363636,3,3,12,0.138853476824673,3,3,12,0.355030734594963
"24",4,3,1.53876656354098,4,3,2.99073120494336,10,1.49,1.66901101101101,0.414729231607779,438.5,-0.431633454717045,0.4385,999,0.545454545454545,1.83333333333333,4,3,10,0.143290241716213,4,3,10,0.327165139068473
"25",5,3,1.79484906863593,5,3,4.49586901006459,11,1.503,1.81322222222222,0.431040932206143,291,-0.719704786815606,0.291,999,0.375722543352601,2.66153846153846,5,3,11,0.135456417229551,5,3,11,0.334716889654406
"26",6,3,0.54775132054572,6,3,1.31633771929825,6,1.07,1.16545945945946,0.35140561737678,507,-0.271650351443036,0.507,999,0.86734693877551,1.15294117647059,6,3,6,0.11565991400773,6,3,6,0.230178752423507
"27",7,3,1.03518775288642,7,3,1.95214798960404,8,1.276,1.42340940940941,0.372444618082513,438,-0.395788802556282,0.438,999,0.690265486725664,1.44871794871795,7,3,8,0.129368430010585,7,3,8,0.269498189851851
