SITE,TRANSECT,PLOT,FORBS,WOODY,SUB_DOM_g,DEAD,PRI50_g,PRI51_g,PRI52_g,PRI53_g
PRI,1,1,5.6,0,0,43.8,20.5,0.2,58.8,1.6
PRI,1,2,6.1,0,0,44.3,51.9,0,40.2,3.4
PRI,1,3,15.8,0,0,74.3,26.7,2.8,59.8,2.5
PRI,1,4,4,0,0,74.6,36.6,63.9,19.2,3.8
PRI,1,5,3.5,0,0,41.8,7.5,3.7,32.3,15.8
PRI,2,1,4,0,0,36.4,9.2,19.5,43.9,6.6
PRI,2,2,3.4,1.2,0,60.7,15.3,0.6,28.7,5.3
PRI,2,3,3.5,0,0,42.6,17.5,0,38.7,1.1
PRI,2,4,5.4,0,0,48.2,3.3,0.2,45.6,0
PRI,2,5,9.5,0,0,30.3,36.7,0,40.5,0
PRI,3,1,5.4,0,0,46.2,26.2,0,67.6,1
PRI,3,2,7,5.2,0,77.3,8.4,0,38.2,6.3
PRI,3,3,14.9,0,1.2,47.8,43,0,38.3,11.4
PRI,3,4,17.8,7.3,0,40.3,8.4,0.2,30.3,1.3
PRI,3,5,11.3,0,0,21.6,8,0,23.5,5.5
PRI,4,1,27.9,0,0,59.6,43.8,0.2,26.5,7.6
PRI,4,2,8.7,0,0,34.1,11.4,0,40.2,2.3
PRI,4,3,18,0.5,0,62.5,24.7,30.2,10.8,3.6
PRI,4,4,10,0,0,39,27,4.2,23.3,3.2
PRI,4,5,24.8,0,0,50.9,14,0.3,31.8,5.8
