Site,Transect,Plot,Plot_ID,PRI1,PRI2,PRI3_g,PRI4_g,PRI5_g,PRI6,PRI7,PRI8,PRI9,PRI10,PRI11,PRI12,PRI13,PRI14,PRI15,PRI16,PRI18,PRI19_g,PRI20,PRI21,PRI22,PRI23,PRI24,PRI25,PRI26,PRI27,PRI28,PRI30,PRI31,PRI32,PRI33,PRI34,PRI35,PRI37,PRI38,PRI39,PRI40,PRI41_g,PRI42_g,PRI43,PRI44,PRI45,PRI46,PRI47,PRI48,PRI49,PRI58,PRI62,PRi65,PRI66,PRI70,PRI73,PRI74,PRI75,PRI76,PRI78,PRI85
PRI,1,1,NA,8,20,60,30,0,25,5,5,3,4,1,0.5,0.5,10,1,3,2,5,1,1,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
PRI,1,2,NA,6,3,10,90,0,5,3,3,3,3,6,0,0,5,0,0,1,5,1,1,0,1,0,2,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0
PRI,1,3,NA,25,1,20,85,0,3,0,3,2,2,2,0,0,6,0,0,3,1,0,2,0,1,0,1,0,3,0,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
PRI,1,4,NA,0,0,60,75,30,2,1,2,2,0,15,0,0,0,0,0,2,10,0,0,0,0,0,0.5,0,10,0,0,1,0,0.5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRI,1,5,NA,2,0,35,30,40,2,0,2,2,0,1,0,0,1,0,0,2,3,0,2,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PRI,2,1,NA,4,2,10,100,15,8,6,2,2,5,4,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
PRI,2,2,NA,0,0,5,85,50,6,6,4,6,1,2,0,0,0,2,1,2,7,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRI,2,3,NA,1,0,5,90,0,10,2,0,3,1,0,0,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,8,0,0,0
PRI,2,4,NA,0,0,25,90,0,6,9,6,2,1,0,0,0,0,6,3,2,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0
PRI,2,5,NA,0,0,5,80,0,10,4,4,0.5,0,0,0,0,0,3,2,4,2,0,2,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
