Site_num,Site_name,Site_ID,STATE,GPS_lat,GPS_long,MAP,annual_precip,grow_precip,MAT,growseasonMT,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,spp_diversity,grass_spp_diversity,grass_dominance,grass_diversity,grass_evenness,mean_prod,grass_prod,soil_percent_N,soil_percent_C,Panicoideae,Chloridoideae,Paniceae,Andropogoneae,Aristidoideae,Cynodonteae,Pooideae,Eragrostideae,Tristachyideae,Zoysieae,Burn_frequency,Grazing_history,height,C13,leaf_C,leaf_N,C_N,leaf_area,SLA,LDMC,mean_stom,stom_den,SPI,PC1,PC2,PC3,PC4
1,Armendaris,ARM,NM,33.192715,-107.020805,255,164.7,128.96,14.7,23.2,4.1,6.6,9.6,14.2,18.9,24,25.5,24.3,20.7,15.1,8.7,4.3,19,7,33.7407066,0.915809881,0.47063318,48.2875,23.7375,0.054761905,0.586666667,0.09,51.03,0,0,0,0.346061456,0,0,0,0.146136621,need to check,over 50 years since last grazed,73.75616927,-15.19159479,42.4202024,2.066742279,21.85211977,2.422622453,160.9798769,0.396466296,26.04424353,97.60694478,0.067237627,-13.85439438,8.088137,0.892613604,6.886079164
2,JE_Canyon,JEC,NM,38.512991,-103.686163,300,211.76,186.89,10.1,20.6,-3.2,-0.2,4.1,9.6,15.1,20.8,24,22.5,17.4,11.1,3.1,-2.1,17,6,62.78609517,0.991478184,0.55335451,53.2,41.9875,0.130909091,1.237727273,0,90.49,0,0,0,0.971943539,0,0,0,0,12-check with Curtis,over 50 years since last grazed,57.58045095,-15.30462365,41.43275759,1.604368816,27.81827996,1.570424214,159.8083742,0.413996147,21.59941019,81.49219154,0.042173571,-17.8855165,4.143017401,-2.475387741,10.96805017
3,SGS,SGS,CO,40.838384,-104.765422,367,257.93,217.27,8.2,17.7,-3.1,-1,2,7,12.1,17.5,21.2,20,14.8,9,1.9,-2.3,30,6,54.0470505,0.594826764,0.331979138,61.175,36.35,0.103809524,0.961904762,0,63.51,0,0,0,0.575856903,0.009013314,0,0,0.033814454,need to check,double check,41.24694018,-15.80630159,41.59543944,1.536609931,28.39722887,1.387144498,149.4709047,0.468507583,25.72999569,96.51728403,0.065855639,-12.55763554,3.305756817,-5.108035447,9.061885561
4,Appleton_Whittell,APP,AZ,31.599119,-110.526943,400,310.85,248.89,15.3,21.9,6.5,7.8,10.2,13.9,17.9,23,24.1,22.7,20.7,16,10.4,6.9,29,8,34.71966534,1.466533708,0.705253636,115.25,44.85,0.081363636,0.800909091,1.96,70.81,0,0,0.050004091,0.711034909,0,0.016197932,0,0,7-20 years,last grazing in 1968,62.58043686,-13.9224178,42.63029654,1.278901476,33.4328534,1.718136136,154.2139437,0.451267516,30.72171842,116.928212,0.118505275,-4.677774274,3.338779679,-2.284161687,7.475859213
5,Fox_Ranch,FOX,CO,39.753064,-102.44873,449,377.98,324.92,10.1,20.3,-2.5,0.2,3.6,9.3,14.7,20.2,23.8,22.5,17.4,11,3.4,-1.5,39,6,45.97155703,1.053866542,0.588174116,191.95,136.75,0.105238095,0.917619048,0,67.59,0,0,0,0.38954753,0.085134138,0,0,0.260477483,8,email William,60.63292741,-16.24530272,42.19119609,1.145291287,38.84529425,4.883190774,96.84664878,0.523354922,29.27260644,111.4128281,0.098999579,-4.658029845,-4.068551893,-0.737360508,6.387801175
6,Hays,HAY,KS,39.085886,-99.166488,599,489.72,391.18,11.7,22.7,-3,-0.2,4.9,11.3,17,22.8,26.2,24.8,19.5,12.8,4.8,-1.2,45,10,29.31131675,1.211038786,0.525947462,275.575,218.4,0.367272727,4.862272727,20.67,58.92,0,0.19474304,0.019257973,0.327807083,0,0,0,0.257739605,NA,ask Kim,86.52491616,-14.52293284,43.5242465,1.581007133,38.69342593,5.023161714,132.548311,0.478003917,28.7857194,109.5064571,0.097619088,-7.104280912,-0.707647653,3.475359518,4.832541256
7,Land_Institute,LAN,KS,38.769624,-97.567522,761,561.34,326.31,13,24,-2,1.1,6.2,12.8,18.5,24,27.2,26.1,21.1,14.5,6.2,0.2,46,9,27.65805195,1.249899229,0.568853654,296.05,187.95,0.271904762,4.576190476,31.16,34.94,0,0.260989649,0,0.301122418,0,0,0,0.056501855,3,"decades, double check",102.1164893,-14.27557366,43.20198418,1.144470718,38.71412645,12.24612368,133.7981643,0.470254735,29.75532408,113.2500726,0.116547384,-4.136571084,-1.24731482,9.635684743,5.710781865
8,Konza,KON,KS,39.070607,-96.58334,868,773.29,522.06,12,22.7,-3.2,-0.2,5.3,11.9,17.5,22.7,25.7,24.7,19.7,13.6,5.8,-0.9,49,10,36.99847151,1.42201049,0.617571309,450.975,371.5,0.277619048,3.335238095,61.93,7.23,0.011270947,0.733699421,0,0.034473658,0,0,0,0.051116439,2,check,116.7710843,-13.64412565,44.84669948,1.008088924,45.54088325,11.83961267,138.6446204,0.429541107,32.18162834,119.1912161,0.133594774,-1.761930474,-2.05949153,11.11573988,2.572491163
9,Principia,PRI,IL,38.935601,-90.316613,958,1037.51,686.3,12.4,22.5,-2.6,-0.1,5.9,12.5,17.8,23,25.3,23.9,19.8,13.7,6.6,0,56,10,42.79277462,0.93981396,0.583939245,403.9,348.4,0.2905,4.0405,59.73,3.69,0,0.799115848,0,0.058442894,0,0,0,0,NA,"historically, but not in recent past",108.4743583,-13.92128482,42.67188242,0.827609631,54.55668142,17.16330125,115.5929427,0.463299775,33.60362697,127.8968827,0.148142996,3.465285955,-4.645485284,12.57144964,5.936052601
10,Lawrence,LAW,KS,39.045312,-95.204899,973,785.74,508.12,12.6,23,-2.2,1,6.1,12.8,18.2,23,25.9,24.7,20.2,14.2,6.2,0.1,56,10,27.9073702,1.54996427,0.646385306,499.7,340.675,0.245714286,5.724285714,62.64,0.11,0.052166231,0.630140847,0,0,0,0,0,0,2,"historically, but not in recent past",130.9369739,-12.70330823,43.24737967,1.318359346,34.26037864,22.02301772,151.5545417,0.393998482,38.40891077,119.6905039,0.161606122,2.818336258,5.389413289,20.41568769,4.790366565
