genus,species,early_ID,late_ID,species_ID,site,trait_data,"life_form(grass=1,forb=2,woody=3)"
Psorelea,tenufolia,PRI1,PRI57,PRI1,PRI,0,2
Amorpha_not_furry,sp,PRI10,PRI64,PRI10,PRI,0,3
Sassafras,sp,PRI11,NA,PRI11,PRI,0,3
Carya,sp,PRI12,NA,PRI12,PRI,0,3
Rhamnus,sp,PRI13,NA,PRI13,PRI,0,3
Pycanthemum,tenufolium,PRI14,PRI55,PRI14,PRI,0,2
Helianthus,rigida,PRI15,PRI72,PRI15,PRI,0,2
Solidago,canadensis,PRI16,PRI54,PRI16,PRI,0,2
Liatrus,sp,PRI18,PRI62,PRI18,PRI,0,2
Bouteloua,curtipendula,PRI19,NA,PRI19,PRI,1,1
Melilotus,albus,PRI2,PRI54,PRI2,PRI,0,2
Carex,sp3,PRI20,NA,PRI20,PRI,0,2
Echinacea,pallida,PRI21,PRI56,PRI21,PRI,0,2
Poison_ivy_like,sp,PRI22,NA,PRI22,PRI,0,2
Liatrus_like_long_skinny_basal_white_veined,sp,PRI23,PRI77,PRI23,PRI,0,2
Alternate_leaves_clasping_two_fruited,sp,PRI24,NA,PRI24,PRI,0,2
Polygala,sp,PRI25,NA,PRI25,PRI,0,2
Thick_leaved_skinny_opp_distinct_white_veins,sp,PRI26,NA,PRI26,PRI,0,2
Cercis,canadensis,PRI27,PRI67,PRI27,PRI,0,3
Ruellia,humilis,PRI28,NA,PRI28,PRI,0,2
Andropogon,gerardii,PRI3,NA,PRI3,PRI,1,1
Silphium,sp,PRI30,PRI86,PRI30,PRI,0,2
Asclepias,sp1,PRI31,PRI84,PRI31,PRI,0,2
Oxalis,stricta,PRI32,NA,PRI32,PRI,0,2
Kuhnia,eupatorioides,PRI33,NA,PRI33,PRI,0,2
Alternate_leaves_purplish,sp,PRI34,NA,PRI34,PRI,0,2
Astragalus,crassicarpus,PRI35,NA,PRI35,PRI,0,2
Dalea,purpurea,PRI37,PRI71,PRI37,PRI,0,2
Rhus,trilobata,PRI38,PRI81,PRI38,PRI,0,3
Quercus,sp,PRI39,NA,PRI39,PRI,0,3
Schizachyrium,scoparium,PRI4,NA,PRI4,PRI,1,1
Opp_leaves_chicken_foot_shaped,sp,PRI40,NA,PRI40,PRI,0,2
Dicanthelium,oligosanthes,PRI41,NA,PRI41,PRI,0,1
Sisyrinchium,campestre,PRI42,NA,PRI42,PRI,0,2
Purplish_square_stem_opp_leaves,sp,PRI43,PRI68,PRI43,PRI,0,2
Asclepias,verticillata,PRI44,PRI69,PRI44,PRI,0,2
Opp_skinny_leaved_aster,sp,PRI45,NA,PRI45,PRI,0,2
Alternate_leaves_grayish_small,,PRI46,NA,PRI46,PRI,0,2
Vitus,sp,PRI47,NA,PRI47,PRI,0,3
Melilotus,officinalis,PRI48,NA,PRI48,PRI,0,2
Whorled_leaves_furry_no_petiole,,PRI49,NA,PRI49,PRI,0,2
Sorghastrum,nutans,PRI5,NA,PRI5,PRI,1,1
Generic_tree_seedling,sp,NA,PRI58,PRI58,PRI,0,3
Carex,meadii,PRI6,NA,PRI6,PRI,0,2
Rough_toothed_alternate,sp,NA,PRI62,PRI62,PRI,0,2
Alternate_leaves_small_white_flowers,sp,NA,PRI65,PRI65,PRI,0,2
Distinct_white_veins_white_flowers_opp_leaves,sp,NA,PRI66,PRI66,PRI,0,2
Carex,heliophila,PRI7,NA,PRI7,PRI,0,2
Legume_woody,sp,NA,PRI70,PRI70,PRI,0,3
Opp_toothed_smooth_leaf,sp,NA,PRI73,PRI73,PRI,0,2
Opppsite_round_purplish_leaves,sp,NA,PRI74,PRI74,PRI,0,2
Aster_basal_rough_leaves,sp,NA,PRI75,PRI75,PRI,0,2
Red_stem_amorpha_like,sp,NA,PRI76,PRI76,PRI,0,2
Comandra,umbellata,NA,PRI78,PRI78,PRI,0,2
Solidago_toothed_early,sp,PRI8,PRI83,PRI8,PRI,0,2
Monarda,sp,NA,PRI80,PRI80,PRI,0,2
Lespedeza,sp,NA,PRI85,PRI85,PRI,0,2
Hypericum,sp,PRI9,PRI60,PRI9,PRI,0,2
