date,Block,plot,species,%cover
5/28/14,2,3,Dicanthelium_oligosanthes,2
5/28/14,2,3,Carex_meadii,11
5/28/14,2,3,Carex_heliophila,2
5/28/14,2,3,Carex_brevior,1
5/28/14,2,3,Baptisia_bracteata,11
5/28/14,2,3,Cornus_drumondii,3
5/28/14,2,4,Dicanthelium_oligosanthes,1
5/28/14,2,4,Carex_gravita,1
5/28/14,2,4,Carex_meadii,9
5/28/14,2,4,Carex_heliophila,4
5/28/14,2,4,Baptisia_bracteata,6
5/28/14,2,4,Rhus_glabra,1
5/28/14,2,4,Ruellia_humilis,1
5/28/14,2,4,Baptisia_australis,6
5/28/14,2,5,Dicanthelium_oligosanthes,4
5/28/14,2,5,Carex_heliophila,14
5/28/14,2,5,Asclepias_verticillata,1
5/28/14,2,5,Rhus_glabra,21
5/28/14,2,5,Callirhoe_involucrata,2
5/28/14,2,5,Rubus_occidentalis,7
5/28/14,2,6,Carex_heliophila,15
5/28/14,2,6,Rhus_glabra,9
5/28/14,2,6,Ruellia_humilis,1
5/28/14,2,6,Callirhoe_involucrata,1
5/28/14,2,6,Antennaria_neglecta,1
5/28/14,2,7,Carex_meadii,8
5/28/14,2,7,Carex_heliophila,3
5/28/14,2,7,Baptisia_bracteata,9
5/28/14,2,7,Rhus_glabra,9
5/28/14,2,8,Dicanthelium_oligosanthes,2
5/28/14,2,8,Carex_gravita,1
5/28/14,2,8,Carex_heliophila,1
5/28/14,2,8,Rhus_glabra,2
5/28/14,2,8,Rubus_occidentalis,4
5/28/14,2,9,Carex_gravita,5
5/28/14,2,9,Carex_meadii,4
5/28/14,2,9,Carex_brevior,2
5/28/14,2,9,Ruellia_humilis,2
5/28/14,2,9,Cornus_drumondii,1
5/28/14,2,10,Carex_meadii,1
5/28/14,2,10,Carex_heliophila,1
5/28/14,2,10,Ruellia_humilis,4
5/28/14,2,10,Psoralea_argophylla,15
5/28/14,2,1,Dicanthelium_oligosanthes,3
5/28/14,2,1,Poa_pratensis,1
5/28/14,2,1,Carex_brevior,2
5/28/14,2,1,Carex_meadii,12
5/28/14,2,1,Carex_gravita,11
5/28/14,2,1,Ruellia_humilis,1
5/28/14,2,1,Oxalis_violacea,30
5/28/14,2,1,Cornus_drumondii,1
5/28/14,2,2,Dicanthelium_oligosanthes,1
5/28/14,2,2,Carex_meadii,5
5/28/14,2,2,Carex_gravita,6
5/28/14,2,2,Ruellia_humilis,1
5/28/14,1,9,Dicanthelium_oligosanthes,3
5/28/14,1,9,Carex_meadii,9
5/28/14,1,9,Carex_heliophila,4
5/28/14,1,9,Amorpha_canescens,5
5/28/14,1,9,Rhus_glabra,1
5/28/14,1,9,Ruellia_humilis,1
5/28/14,1,10,Dicanthelium_oligosanthes,2
5/28/14,1,10,Carex_meadii,11
5/28/14,1,10,Carex_heliophila,2
