date,Block,plot,species,%cover,Note:
6/26/14,1,1,bare_ground,5,did not count carex or festuca in late sampling.
6/26/14,1,1,Bouteloua_gracilis,55,
6/26/14,1,1,Bouteloua_hirsuta,8,
6/26/14,1,1,Carex_duriuscula,2,
6/26/14,1,1,cryptogramic,1,
6/26/14,1,1,Elymus_elymoides,10,
6/26/14,1,1,Euphorbia_glyptosperma,1,
6/26/14,1,1,Festuca_octoflora,9,
6/26/14,1,1,Oenothera_albicaulis,2,
6/26/14,1,1,Opuntia_polyacantha,1,
6/26/14,1,1,Plantago_patagonica,2,
6/26/14,1,1,Sphaeralcea_coccinea,3,
6/26/14,1,2,bare_ground,29,
6/26/14,1,2,Bouteloua_gracilis,41,
6/26/14,1,2,Carex_duriuscula,6,
6/26/14,1,2,Elymus_elymoides,6,
6/26/14,1,2,Festuca_octoflora,14,
6/26/14,1,2,Ipomopsis_laxiflora,4,
6/26/14,1,2,Plantago_patagonica,5,
6/26/14,1,2,Sphaeralcea_coccinea,3,
6/26/14,1,3,bare_ground,5,
6/26/14,1,3,Bouteloua_gracilis,65,
6/26/14,1,3,Carex_duriuscula,6,
6/26/14,1,3,Festuca_octoflora,49,
6/26/14,1,3,Ipomopsis_laxiflora,1,
6/26/14,1,3,Plantago_patagonica,10,
6/26/14,1,3,Sphaeralcea_coccinea,2,
6/26/14,1,4,Bouteloua_gracilis,32,
6/26/14,1,4,Bouteloua_hirsuta,2,
6/26/14,1,4,Buchloe_dactyloides,18,
6/26/14,1,4,Carex_duriuscula,17,
6/26/14,1,4,Elymus_elymoides,3,
6/26/14,1,4,Festuca_octoflora,77,
6/26/14,1,4,Sphaeralcea_coccinea,9,
6/26/14,1,5,Bouteloua_gracilis,50,
6/26/14,1,5,Carex_duriuscula,2,
6/26/14,1,5,cryptogramic,1,
6/26/14,1,5,Festuca_octoflora,56,
6/26/14,1,5,Machaeranthera_tanacetifolia,1,
6/26/14,1,5,Oenothera_albicaulis,4,
6/26/14,1,5,Plantago_patagonica,1,
6/26/14,1,5,Sphaeralcea_coccinea,1,
6/26/14,1,6,Bouteloua_gracilis,52,
6/26/14,1,6,Carex_duriuscula,2,
6/26/14,1,6,Echinocereus_viridiflorus,1,
6/26/14,1,6,Festuca_octoflora,20,
6/26/14,1,6,Ipomopsis_laxiflora,1,
6/26/14,1,6,Muhlenbergia_torreyi,1,
6/26/14,1,6,Oenothera_albicaulis,2,
6/26/14,1,6,Picradeniopsis_oppositifolia,2,
6/26/14,1,6,Plantago_patagonica,8,
6/26/14,1,6,Sphaeralcea_coccinea,1,
6/26/14,1,6,Tragopogon_dubius,5,
6/26/14,1,7,bare_ground,9,
6/26/14,1,7,Bouteloua_gracilis,51,
6/26/14,1,7,Carex_duriuscula,14,
6/26/14,1,7,Cryptantha_minima,8,
6/26/14,1,7,cryptogramic,1,
6/26/14,1,7,Echinocereus_viridiflorus,1,
6/26/14,1,7,Elymus_elymoides,2,
6/26/14,1,7,Euphorbia_glyptosperma,1,
6/26/14,1,7,Festuca_octoflora,6,
6/26/14,1,7,Opuntia_polyacantha,2,
6/26/14,1,7,Plantago_patagonica,8,
6/26/14,1,7,Sphaeralcea_coccinea,4,
6/26/14,1,8,Bouteloua_gracilis,42,
6/26/14,1,8,Carex_duriuscula,11,
6/26/14,1,8,cryptogramic,2,
6/26/14,1,8,Elymus_elymoides,9,
6/26/14,1,8,Festuca_octoflora,17,
6/26/14,1,8,Ipomopsis_laxiflora,2,
6/26/14,1,8,Opuntia_polyacantha,2,
6/26/14,1,8,Plantago_patagonica,1,
6/26/14,1,8,Sphaeralcea_coccinea,7,
6/26/14,1,9,Bouteloua_gracilis,87,
6/26/14,1,9,Cryptantha_minima,2,
6/26/14,1,9,cryptogramic,2,
6/26/14,1,9,Festuca_octoflora,22,
6/26/14,1,9,Plantago_patagonica,8,
6/26/14,1,9,Sphaeralcea_coccinea,1,
6/26/14,1,10,bare_ground,1,
6/26/14,1,10,Bouteloua_gracilis,68,
6/26/14,1,10,Carex_duriuscula,3,
6/26/14,1,10,cryptogramic,1,
6/26/14,1,10,Festuca_octoflora,95,
6/26/14,1,10,Ipomopsis_laxiflora,1,
6/26/14,1,10,Picradeniopsis_oppositifolia,8,
6/26/14,1,10,Plantago_patagonica,6,
6/26/14,2,1,Bouteloua_gracilis,95,
6/26/14,2,1,Carex_duriuscula,12,
6/26/14,2,1,Elymus_elymoides,17,
6/26/14,2,1,Euphorbia_glyptosperma,1,
6/26/14,2,1,Festuca_octoflora,5,
6/26/14,2,1,Oenothera_albicaulis,8,
6/26/14,2,1,Sphaeralcea_coccinea,1,
6/26/14,2,1,Thelesperma_filifolium,2,
6/26/14,2,2,bare_ground,5,
6/26/14,2,2,Bouteloua_gracilis,75,
6/26/14,2,2,Carex_duriuscula,4,
6/26/14,2,2,Elymus_elymoides,12,
6/26/14,2,2,Euphorbia_glyptosperma,1,
6/26/14,2,2,Festuca_octoflora,9,
6/26/14,2,2,Plantago_patagonica,1,
6/26/14,2,2,Sphaeralcea_coccinea,4,
6/26/14,2,3,bare_ground,1,
6/26/14,2,3,Bouteloua_gracilis,73,
6/26/14,2,3,Carex_duriuscula,14,
6/26/14,2,3,cryptogramic,1,
6/26/14,2,3,Elymus_elymoides,10,
6/26/14,2,3,Festuca_octoflora,7,
6/26/14,2,3,Muhlenbergia_torreyi,1,
6/26/14,2,3,Pascopyrum_smithii,17,
6/26/14,2,3,Sphaeralcea_coccinea,3,
6/26/14,2,3,Thelesperma_filifolium,34,
6/26/14,2,3,Unk_6-_smallaster,1,
6/26/14,2,4,bare_ground,8,
6/26/14,2,4,Bouteloua_gracilis,72,
6/26/14,2,4,Cryptantha_minima,2,
6/26/14,2,4,cryptogramic,1,
6/26/14,2,4,Elymus_elymoides,8,
6/26/14,2,4,Euphorbia_glyptosperma,1,
6/26/14,2,4,Festuca_octoflora,14,
6/26/14,2,4,Ipomopsis_laxiflora,1,
6/26/14,2,4,Oenothera_albicaulis,30,
6/26/14,2,4,Sphaeralcea_coccinea,2,
6/26/14,2,4,Thelesperma_filifolium,4,
6/26/14,2,5,bare_ground,10,
6/26/14,2,5,Bouteloua_gracilis,71,
6/26/14,2,5,Carex_duriuscula,9,
